PRISM Time Series Data
Location:  Lat: 40.7500   Lon: -122.0417   Elev: unknown
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1991-01-01 - 1991-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Mar-31
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1991-01-01,0.00,-4.6,3.8,12.1
1991-01-02,0.00,-3.0,5.6,14.1
1991-01-03,0.00,-2.1,5.4,12.9
1991-01-04,0.00,-0.3,6.8,13.9
1991-01-05,0.00,-3.3,4.4,12.1
1991-01-06,0.00,-2.8,4.4,11.6
1991-01-07,21.10,-0.6,3.2,7.0
1991-01-08,0.00,1.9,4.1,6.4
1991-01-09,4.52,1.4,5.6,9.7
1991-01-10,3.90,2.6,6.1,9.5
1991-01-11,1.89,3.2,6.0,8.8
1991-01-12,7.98,3.5,6.1,8.6
1991-01-13,7.86,6.5,8.5,10.6
1991-01-14,0.00,6.8,9.1,11.5
1991-01-15,0.00,5.6,11.2,16.9
1991-01-16,0.00,4.8,8.9,13.1
1991-01-17,0.00,5.7,12.1,18.6
1991-01-18,0.00,3.2,12.4,21.7
1991-01-19,0.00,3.2,8.1,13.0
1991-01-20,0.00,4.5,11.6,18.8
1991-01-21,0.00,3.3,10.1,16.9
1991-01-22,0.00,4.0,10.5,17.1
1991-01-23,0.00,0.2,9.5,18.8
1991-01-24,0.00,-0.9,7.5,16.0
1991-01-25,0.00,-1.3,7.8,17.0
1991-01-26,0.00,-1.4,6.4,14.3
1991-01-27,0.00,-1.8,7.1,15.9
1991-01-28,0.00,-1.9,6.0,14.0
1991-01-29,0.00,-2.5,5.9,14.3
1991-01-30,0.00,-0.8,8.4,17.6
1991-01-31,0.00,-1.2,6.4,13.9
1991-02-01,0.00,1.7,8.1,14.5
1991-02-02,37.56,1.4,8.0,14.7
1991-02-03,19.87,5.8,6.8,7.8
1991-02-04,6.12,4.8,6.5,8.3
1991-02-05,25.54,5.1,7.6,10.2
1991-02-06,0.00,5.1,11.1,17.2
1991-02-07,0.00,4.3,11.6,18.8
1991-02-08,0.00,3.8,10.5,17.2
1991-02-09,0.00,3.0,10.1,17.3
1991-02-10,0.00,2.3,10.5,18.6
1991-02-11,0.00,5.1,12.5,20.0
1991-02-12,0.00,3.7,11.3,19.0
1991-02-13,0.00,3.6,10.4,17.2
1991-02-14,0.00,5.7,14.0,22.4
1991-02-15,0.00,8.0,14.4,20.7
1991-02-16,0.00,7.2,14.1,20.9
1991-02-17,0.00,5.5,12.1,18.7
1991-02-18,0.00,3.6,11.2,18.8
1991-02-19,0.00,4.1,12.0,19.9
1991-02-20,0.00,4.0,12.6,21.3
1991-02-21,0.00,4.0,12.6,21.2
1991-02-22,0.00,4.2,12.0,19.8
1991-02-23,0.00,3.3,12.6,21.9
1991-02-24,0.00,6.8,14.8,22.8
1991-02-25,0.00,5.0,13.4,21.8
1991-02-26,0.00,4.3,13.2,22.2
1991-02-27,0.00,4.1,13.2,22.3
1991-02-28,4.59,5.5,12.3,19.0
1991-03-01,23.60,5.7,9.1,12.5
1991-03-02,20.03,5.5,8.4,11.2
1991-03-03,70.93,6.6,9.0,11.5
1991-03-04,47.46,7.5,10.7,13.8
1991-03-05,16.58,2.8,9.1,15.5
1991-03-06,0.00,0.4,6.8,13.1
1991-03-07,0.00,0.3,6.9,13.5
1991-03-08,0.00,0.7,8.9,17.1
1991-03-09,0.00,1.1,10.0,18.9
1991-03-10,4.07,2.7,7.8,13.0
1991-03-11,21.30,-0.2,3.3,6.9
1991-03-12,12.99,-1.8,3.3,8.4
1991-03-13,34.05,1.8,4.3,6.9
1991-03-14,1.76,-0.5,4.8,10.2
1991-03-15,7.36,-0.7,4.9,10.5
1991-03-16,0.00,-1.1,6.7,14.6
1991-03-17,2.93,0.4,4.4,8.5
1991-03-18,11.16,3.0,6.0,9.0
1991-03-19,2.46,1.9,6.9,12.0
1991-03-20,14.69,1.6,7.2,12.8
1991-03-21,2.72,1.9,6.3,10.8
1991-03-22,2.41,0.8,7.0,13.1
