PRISM Time Series Data
Location:  Lat: 40.7083   Lon: -122.0417   Elev: unknown
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1991-01-01 - 1991-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Mar-31
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1991-03-11,19.93,0.0,3.4,6.8
1991-03-12,10.56,-1.6,3.5,8.5
1991-03-13,30.67,1.7,4.3,7.0
1991-03-14,1.54,-0.2,5.0,10.3
1991-03-15,7.01,-0.4,5.1,10.6
1991-03-16,0.00,-1.0,6.9,14.7
1991-03-17,2.62,0.5,4.6,8.7
1991-03-18,10.68,3.2,6.2,9.1
1991-03-19,2.40,2.0,7.1,12.3
1991-03-20,12.15,1.9,7.4,12.9
1991-03-21,2.50,1.9,6.4,11.0
1991-03-22,1.96,0.7,7.0,13.3
1991-03-23,11.79,1.1,6.3,11.6
1991-03-24,17.45,2.3,4.6,6.9
1991-03-25,14.73,1.8,4.1,6.5
1991-03-26,19.39,0.8,4.1,7.5
1991-03-27,1.72,-0.5,4.0,8.5
1991-03-28,0.00,-0.9,8.3,17.5
1991-03-29,0.00,1.1,9.6,18.1
1991-03-30,0.00,3.9,13.6,23.3
1991-03-31,0.00,5.4,14.3,23.2
1991-04-01,0.11,8.0,14.4,20.8
1991-04-02,2.48,7.5,11.6,15.7
1991-04-03,0.00,5.6,11.6,17.6
1991-04-04,0.00,4.9,12.1,19.3
1991-04-05,0.00,6.8,14.4,22.0
1991-04-06,19.61,7.6,11.3,15.1
1991-04-07,0.00,3.9,9.6,15.3
1991-04-08,0.00,2.5,9.3,16.1
1991-04-09,0.00,5.4,13.2,21.0
1991-04-10,0.00,2.8,11.3,19.9
1991-04-11,0.00,1.9,7.6,13.3
1991-04-12,0.00,3.0,10.2,17.5
1991-04-13,0.00,5.4,14.1,22.9
1991-04-14,0.00,5.6,14.3,22.9
1991-04-15,8.34,4.7,12.4,20.1
1991-04-16,2.60,3.7,8.7,13.8
1991-04-17,1.11,4.7,11.1,17.5
1991-04-18,0.87,5.2,12.3,19.4
1991-04-19,0.81,5.2,12.2,19.2
1991-04-20,3.23,5.3,12.9,20.6
1991-04-21,2.12,6.4,9.4,12.5
1991-04-22,0.00,6.8,13.0,19.2
1991-04-23,4.73,6.3,14.3,22.3
1991-04-24,3.07,7.3,10.5,13.8
1991-04-25,9.28,4.5,9.1,13.6
1991-04-26,1.34,3.8,8.1,12.5
1991-04-27,0.00,4.3,11.6,19.0
1991-04-28,0.00,5.4,13.7,21.9
1991-04-29,0.00,8.0,16.4,24.8
1991-04-30,0.00,7.1,16.2,25.2
1991-05-01,0.14,6.0,14.5,23.0
1991-05-02,1.01,5.3,9.1,12.9
1991-05-03,2.15,6.1,11.4,16.7
1991-05-04,0.00,6.9,14.8,22.7
1991-05-05,0.00,6.4,15.5,24.7
1991-05-06,0.00,9.9,16.3,22.7
1991-05-07,0.00,8.1,15.7,23.2
1991-05-08,3.82,8.9,16.3,23.6
1991-05-09,0.00,4.6,11.1,17.6
1991-05-10,0.00,5.4,11.2,17.0
1991-05-11,0.00,5.9,12.9,19.9
1991-05-12,0.00,8.0,14.1,20.2
1991-05-13,10.98,8.3,14.4,20.5
1991-05-14,8.86,6.1,10.2,14.4
1991-05-15,0.00,7.3,15.5,23.7
1991-05-16,0.00,11.4,19.0,26.5
1991-05-17,10.75,7.1,14.1,21.1
1991-05-18,10.71,5.3,9.5,13.8
1991-05-19,1.18,4.1,8.7,13.4
1991-05-20,0.00,5.2,12.9,20.7
1991-05-21,0.00,7.9,16.0,24.0
1991-05-22,0.00,10.7,20.1,29.4
1991-05-23,0.00,12.5,21.6,30.7
1991-05-24,0.00,12.1,21.7,31.2
1991-05-25,0.00,12.6,21.4,30.3
1991-05-26,0.00,11.6,18.7,25.8
1991-05-27,0.00,11.2,18.5,25.8
1991-05-28,0.00,11.3,19.5,27.6
1991-05-29,0.00,10.7,18.5,26.3
1991-05-30,4.75,7.5,11.9,16.4
1991-05-31,0.00,7.4,13.5,19.5
1991-06-01,0.00,11.1,20.2,29.3
1991-06-02,0.00,14.7,23.7,32.7
1991-06-03,0.00,14.4,23.2,32.1
1991-06-04,0.00,12.9,21.3,29.7
1991-06-05,0.00,11.8,19.2,26.6
1991-06-06,0.00,10.6,19.2,27.8
1991-06-07,0.00,11.2,19.6,28.0
1991-06-08,0.00,12.4,22.4,32.5
1991-06-09,0.00,16.1,24.7,33.4
1991-06-10,0.00,17.6,27.3,37.0
1991-06-11,0.00,18.3,27.9,37.5
1991-06-12,0.00,17.5,26.8,36.1
1991-06-13,0.00,14.8,23.7,32.6
1991-06-14,0.00,12.1,20.2,28.4
1991-06-15,0.00,10.4,20.1,29.7
1991-06-16,0.00,11.9,21.5,31.0
1991-06-17,0.00,12.7,20.8,28.9
1991-06-18,0.00,11.4,21.1,30.8
1991-06-19,0.00,13.6,21.9,30.2
1991-06-20,0.67,10.2,16.2,22.2
1991-06-21,0.00,10.6,18.9,27.2
1991-06-22,0.00,10.3,19.3,28.4
1991-06-23,0.00,11.7,20.0,28.4
1991-06-24,0.00,11.5,18.6,25.6
1991-06-25,0.00,11.5,18.7,25.8
1991-06-26,2.03,11.7,18.6,25.5
1991-06-27,3.06,10.6,17.3,23.9
1991-06-28,1.68,12.4,17.5,22.7
1991-06-29,8.66,13.2,16.7,20.3
1991-06-30,0.00,12.3,17.9,23.5
1991-07-01,0.00,14.9,23.9,32.9
1991-07-02,0.00,21.4,29.8,38.3
1991-07-03,0.00,22.8,32.3,41.9
1991-07-04,0.00,22.8,33.2,43.7
1991-07-05,0.00,22.2,32.8,43.4
1991-07-06,0.00,18.8,29.4,39.9
1991-07-07,0.00,17.5,27.2,36.8
1991-07-08,0.00,16.8,26.7,36.7
1991-07-09,0.00,16.5,26.0,35.5
1991-07-10,0.00,16.4,25.1,33.8
1991-07-11,0.00,17.4,26.5,35.7
1991-07-12,0.00,18.4,28.2,38.1
1991-07-13,0.00,18.9,27.8,36.6
1991-07-14,0.00,17.5,26.0,34.6
1991-07-15,0.00,16.2,24.6,33.0
1991-07-16,0.00,16.1,22.9,29.7
1991-07-17,0.00,16.2,20.7,25.3
1991-07-18,0.00,16.3,24.1,31.8
1991-07-19,0.00,15.8,25.9,35.9
1991-07-20,2.31,17.4,25.5,33.7
1991-07-21,2.95,17.5,25.6,33.7
1991-07-22,0.00,17.9,27.6,37.2
1991-07-23,0.13,19.5,29.0,38.5
1991-07-24,0.00,18.9,27.9,36.9
1991-07-25,0.00,18.7,27.3,36.0
1991-07-26,0.00,18.6,27.4,36.1
1991-07-27,0.00,20.1,29.3,38.6
1991-07-28,0.00,20.8,31.0,41.1
1991-07-29,0.00,20.8,30.8,40.8
1991-07-30,0.00,21.7,31.8,42.0
1991-07-31,0.00,21.7,31.5,41.2
1991-08-01,0.00,16.9,27.0,37.1
1991-08-02,0.00,16.3,25.9,35.4
1991-08-03,0.00,15.5,25.5,35.5
1991-08-04,0.00,15.3,24.2,33.1
1991-08-05,0.00,14.5,23.6,32.7
1991-08-06,0.00,14.5,23.4,32.4
1991-08-07,0.00,14.5,21.4,28.3
1991-08-08,0.00,15.5,22.5,29.4
1991-08-09,0.00,14.0,24.5,35.0
1991-08-10,0.00,17.3,26.0,34.7
1991-08-11,0.00,17.5,27.2,36.9
1991-08-12,0.00,17.3,27.3,37.3
1991-08-13,0.00,17.5,26.9,36.2
1991-08-14,0.00,17.7,25.2,32.8
1991-08-15,11.44,17.2,27.0,36.8
1991-08-16,0.00,15.6,22.9,30.2
1991-08-17,0.00,15.0,25.0,34.9
1991-08-18,0.00,15.3,25.1,35.0
1991-08-19,0.00,15.3,24.6,33.9
1991-08-20,0.00,16.1,25.4,34.7
1991-08-21,0.00,16.4,26.1,35.8
1991-08-22,0.00,16.3,26.6,37.0
1991-08-23,0.00,15.4,25.9,36.5
1991-08-24,0.00,17.6,27.1,36.6
1991-08-25,0.00,17.4,26.7,35.9
1991-08-26,0.00,14.1,23.1,32.2
1991-08-27,0.00,12.1,21.4,30.6
1991-08-28,0.00,11.4,18.8,26.1
1991-08-29,0.00,13.6,19.6,25.7
1991-08-30,0.00,14.6,23.2,31.8
1991-08-31,0.00,15.4,24.6,33.9
1991-09-01,0.00,16.4,24.8,33.2
1991-09-02,0.00,17.4,26.0,34.6
1991-09-03,0.00,17.7,27.9,38.1
1991-09-04,0.00,18.7,29.3,40.0
1991-09-05,0.00,20.7,30.6,40.5
1991-09-06,0.00,20.6,30.2,39.9
1991-09-07,0.00,16.7,26.1,35.5
1991-09-08,0.00,15.4,23.2,31.1
1991-09-09,0.00,15.0,23.6,32.3
1991-09-10,0.00,12.0,20.4,28.8
1991-09-11,0.00,11.1,19.7,28.4
1991-09-12,0.00,12.8,23.1,33.3
1991-09-13,0.00,14.7,24.5,34.3
1991-09-14,0.00,15.2,23.8,32.4
1991-09-15,0.00,15.0,24.4,33.7
1991-09-16,0.00,14.9,26.1,37.3
1991-09-17,0.00,16.2,27.3,38.4
1991-09-18,0.00,17.0,29.1,41.1
1991-09-19,0.00,17.9,28.8,39.7
1991-09-20,0.00,18.1,28.2,38.3
1991-09-21,0.00,16.1,25.7,35.4
1991-09-22,0.00,17.5,25.8,34.1
1991-09-23,0.00,15.6,25.9,36.2
1991-09-24,0.00,16.2,27.1,38.0
1991-09-25,0.00,16.7,28.0,39.2
1991-09-26,0.00,16.9,27.6,38.4
1991-09-27,0.00,15.6,25.1,34.5
1991-09-28,0.00,15.7,24.3,32.8
1991-09-29,0.00,14.9,24.8,34.7
1991-09-30,0.00,17.4,27.0,36.7
1991-10-01,0.00,17.0,27.0,36.9
1991-10-02,0.00,16.6,26.7,36.8
1991-10-03,0.00,17.0,27.1,37.1
1991-10-04,0.00,15.4,26.3,37.1
1991-10-05,0.00,14.5,25.1,35.7
1991-10-06,0.00,14.6,23.8,33.1
1991-10-07,0.00,13.4,23.0,32.5
1991-10-08,0.00,13.3,22.3,31.2
1991-10-09,0.00,13.4,23.1,32.8
1991-10-10,0.00,14.3,25.3,36.3
1991-10-11,0.00,16.2,26.8,37.4
1991-10-12,0.00,16.4,27.0,37.6
1991-10-13,0.00,15.5,26.0,36.5
1991-10-14,0.00,13.7,25.1,36.5
1991-10-15,0.00,15.0,26.1,37.2
1991-10-16,0.00,14.2,24.1,34.0
1991-10-17,0.00,13.1,22.3,31.5
1991-10-18,0.00,13.3,22.5,31.7
1991-10-19,0.00,13.1,22.6,32.0
1991-10-20,0.00,16.5,24.0,31.4
1991-10-21,0.00,14.7,22.6,30.5
1991-10-22,0.00,10.6,20.4,30.1
1991-10-23,3.23,4.9,12.6,20.2
1991-10-24,0.00,5.0,11.4,17.9
1991-10-25,2.55,6.5,9.7,12.8
1991-10-26,39.75,7.3,10.5,13.7
1991-10-27,10.04,4.5,10.4,16.4
1991-10-28,0.00,3.4,9.1,14.8
1991-10-29,0.78,4.9,10.5,16.1
1991-10-30,0.00,4.6,11.0,17.5
1991-10-31,0.00,5.1,11.1,17.1
1991-11-01,0.00,4.1,12.3,20.6
1991-11-02,0.00,5.9,13.8,21.7
1991-11-03,0.00,7.2,14.6,22.0
1991-11-04,0.00,7.7,14.8,22.0
1991-11-05,0.00,7.6,14.7,21.8
1991-11-06,0.00,9.3,17.9,26.5
1991-11-07,0.00,11.1,19.1,27.2
1991-11-08,0.00,11.7,19.6,27.4
1991-11-09,11.05,10.7,14.7,18.6
1991-11-10,0.00,9.3,15.9,22.4
1991-11-11,0.00,10.0,15.9,21.9
1991-11-12,0.00,8.5,16.5,24.5
1991-11-13,0.00,9.0,15.7,22.3
1991-11-14,0.00,6.3,12.7,19.1
1991-11-15,0.00,3.9,10.1,16.3
1991-11-16,0.00,1.9,9.7,17.5
1991-11-17,21.32,2.2,7.8,13.4
1991-11-18,10.71,4.4,7.4,10.5
1991-11-19,0.00,3.1,8.7,14.4
1991-11-20,7.39,4.3,9.3,14.3
1991-11-21,3.73,5.2,7.5,9.8
1991-11-22,0.00,4.5,10.1,15.7
1991-11-23,0.00,3.6,10.4,17.2
1991-11-24,0.00,4.3,11.2,18.1
1991-11-25,0.00,6.1,12.5,18.8
1991-11-26,0.00,5.8,12.0,18.3
1991-11-27,7.86,5.8,11.0,16.1
1991-11-28,0.00,3.5,9.2,14.9
1991-11-29,0.00,3.2,8.8,14.4
1991-11-30,0.00,1.7,7.8,14.0
1991-12-01,0.00,2.0,8.2,14.5
1991-12-02,0.00,1.8,8.5,15.2
1991-12-03,0.00,2.3,9.7,17.2
1991-12-04,0.00,2.2,9.6,16.9
1991-12-05,0.00,3.0,9.4,15.8
1991-12-06,0.00,2.8,8.9,15.0
1991-12-07,16.19,4.1,8.3,12.5
1991-12-08,0.00,4.3,9.7,15.0
1991-12-09,0.00,5.0,10.9,16.8
1991-12-10,0.00,2.7,10.2,17.6
1991-12-11,0.00,2.0,9.7,17.4
1991-12-12,0.00,3.4,9.7,16.1
1991-12-13,0.00,3.0,7.2,11.3
1991-12-14,0.00,2.3,8.4,14.5
1991-12-15,0.00,3.6,8.4,13.1
1991-12-16,0.00,3.4,9.3,15.3
1991-12-17,0.00,4.2,8.4,12.5
1991-12-18,35.51,3.1,7.8,12.5
1991-12-19,9.56,2.0,6.3,10.5
1991-12-20,0.00,1.0,6.2,11.3
1991-12-21,0.00,0.7,7.1,13.6
1991-12-22,0.00,1.6,6.8,12.1
1991-12-23,0.00,1.5,8.0,14.5
1991-12-24,0.00,2.4,9.5,16.5
1991-12-25,0.00,2.1,7.9,13.7
1991-12-26,0.00,2.7,7.4,12.1
1991-12-27,0.00,3.8,7.8,11.9
1991-12-28,19.38,3.1,8.2,13.4
1991-12-29,27.51,5.0,7.1,9.1
1991-12-30,5.37,3.4,5.5,7.6
1991-12-31,0.32,2.8,6.7,10.7
