PRISM Time Series Data
Location:  Lat: 40.7083   Lon: -122.0417   Elev: unknown
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1991-01-01 - 1991-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Mar-31
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1991-01-01,0.00,-3.9,4.2,12.3
1991-01-02,0.00,-2.4,6.0,14.4
1991-01-03,0.00,-1.6,6.0,13.5
1991-01-04,0.00,0.6,7.4,14.3
1991-01-05,0.00,-3.0,4.6,12.2
1991-01-06,0.00,-2.5,4.7,11.8
1991-01-07,18.38,-0.5,3.2,6.8
1991-01-08,0.09,1.9,4.2,6.5
1991-01-09,4.11,1.3,5.6,9.8
1991-01-10,3.35,2.6,6.2,9.8
1991-01-11,1.62,3.2,6.2,9.2
1991-01-12,6.86,3.5,6.3,9.0
1991-01-13,6.88,6.4,8.7,10.9
1991-01-14,0.00,6.8,9.2,11.5
1991-01-15,0.00,5.6,11.3,17.0
1991-01-16,0.00,4.7,8.8,12.9
1991-01-17,0.00,5.8,12.5,19.2
1991-01-18,0.00,3.5,12.9,22.3
1991-01-19,0.00,3.3,8.2,13.2
1991-01-20,0.00,4.4,11.9,19.4
1991-01-21,0.00,3.8,10.5,17.2
1991-01-22,0.00,4.0,10.9,17.8
1991-01-23,0.00,0.2,9.7,19.1
1991-01-24,0.00,-0.7,7.7,16.1
1991-01-25,0.00,-0.7,8.1,16.9
1991-01-26,0.00,-0.8,6.8,14.4
1991-01-27,0.00,-1.4,7.2,15.9
1991-01-28,0.00,-1.7,6.2,14.0
1991-01-29,0.00,-2.0,6.1,14.1
1991-01-30,0.00,-0.6,8.6,17.8
1991-01-31,0.00,-0.4,6.9,14.2
1991-02-01,0.00,2.2,8.5,14.8
1991-02-02,36.38,2.3,8.5,14.7
1991-02-03,19.01,6.2,7.1,8.1
1991-02-04,6.10,5.0,6.8,8.6
1991-02-05,24.09,5.7,8.3,10.9
1991-02-06,0.00,6.0,11.5,17.0
1991-02-07,0.00,5.3,12.1,18.9
1991-02-08,0.00,4.7,11.2,17.7
1991-02-09,0.00,3.8,10.7,17.5
1991-02-10,0.00,3.2,11.0,18.8
1991-02-11,0.00,5.8,13.0,20.1
1991-02-12,0.00,4.2,11.6,19.1
1991-02-13,0.00,4.4,10.9,17.5
1991-02-14,0.00,6.0,14.3,22.6
1991-02-15,0.00,8.6,14.7,20.9
1991-02-16,0.00,8.1,14.7,21.2
1991-02-17,0.00,6.3,12.5,18.7
1991-02-18,0.00,4.2,11.5,18.8
1991-02-19,0.00,4.6,12.3,20.1
1991-02-20,0.00,4.6,13.1,21.6
1991-02-21,0.00,4.8,13.1,21.4
1991-02-22,0.00,5.2,12.6,19.9
1991-02-23,0.00,3.9,12.8,21.7
1991-02-24,0.00,7.2,15.1,23.0
1991-02-25,0.00,6.1,14.1,22.2
1991-02-26,0.00,5.6,14.8,24.0
1991-02-27,0.00,5.2,13.9,22.5
1991-02-28,4.29,6.0,12.6,19.2
1991-03-01,19.19,5.6,9.1,12.7
1991-03-02,16.54,5.5,8.4,11.3
1991-03-03,57.93,6.5,9.1,11.6
1991-03-04,39.04,7.6,10.7,13.9
1991-03-05,14.38,2.8,9.2,15.6
1991-03-06,0.00,0.5,7.0,13.5
1991-03-07,0.00,0.4,7.0,13.7
1991-03-08,0.00,0.8,9.0,17.2
1991-03-09,0.00,1.2,10.0,18.8
1991-03-10,3.51,3.1,8.1,13.1
