PRISM Time Series Data
Location:  Lat: 40.7500   Lon: -122.0833   Elev: unknown
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1991-01-01 - 1991-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Mar-31
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1991-01-01,0.00,-3.9,4.2,12.3
1991-01-02,0.00,-2.3,6.0,14.4
1991-01-03,0.00,-1.5,6.1,13.7
1991-01-04,0.00,0.4,7.5,14.6
1991-01-05,0.00,-2.9,4.8,12.4
1991-01-06,0.00,-2.3,4.7,11.8
1991-01-07,19.90,-0.4,3.3,7.0
1991-01-08,0.00,1.9,4.3,6.6
1991-01-09,4.40,1.3,5.8,10.3
1991-01-10,3.72,2.6,6.2,9.7
1991-01-11,1.85,3.2,5.9,8.6
1991-01-12,7.93,3.5,6.1,8.7
1991-01-13,7.67,6.3,8.7,11.0
1991-01-14,0.00,6.7,9.1,11.5
1991-01-15,0.00,5.4,11.5,17.6
1991-01-16,0.00,4.6,9.0,13.5
1991-01-17,0.00,5.7,12.5,19.3
1991-01-18,0.00,3.6,13.0,22.3
1991-01-19,0.00,3.4,8.3,13.2
1991-01-20,0.00,4.3,11.7,19.2
1991-01-21,0.00,3.4,10.8,18.1
1991-01-22,0.00,4.0,10.7,17.5
1991-01-23,0.00,0.4,10.0,19.6
1991-01-24,0.00,-0.6,7.8,16.2
1991-01-25,0.00,-0.8,8.4,17.6
1991-01-26,0.00,-0.8,6.9,14.5
1991-01-27,0.00,-1.3,7.5,16.3
1991-01-28,0.00,-1.5,6.4,14.4
1991-01-29,0.00,-2.0,6.3,14.6
1991-01-30,0.00,-0.5,8.9,18.2
1991-01-31,0.00,-0.5,6.6,13.7
1991-02-01,0.00,1.9,8.3,14.6
1991-02-02,37.21,1.2,7.9,14.6
1991-02-03,19.51,5.8,6.8,7.9
1991-02-04,6.32,4.8,6.6,8.4
1991-02-05,25.04,5.2,7.2,9.3
1991-02-06,0.00,5.0,11.6,18.2
1991-02-07,0.00,3.9,11.5,19.1
1991-02-08,0.00,3.4,10.6,17.9
1991-02-09,0.00,2.8,10.1,17.4
1991-02-10,0.00,2.0,10.4,18.8
1991-02-11,0.00,5.0,12.6,20.2
1991-02-12,0.00,3.9,11.6,19.2
1991-02-13,0.00,3.4,10.4,17.4
1991-02-14,0.00,5.9,14.3,22.8
1991-02-15,0.00,8.1,14.5,21.0
1991-02-16,0.00,7.1,14.0,20.9
1991-02-17,0.00,5.5,12.2,19.0
1991-02-18,0.00,3.7,11.4,19.0
1991-02-19,0.00,4.4,12.4,20.3
1991-02-20,0.00,4.0,12.8,21.7
1991-02-21,0.00,3.9,12.7,21.4
1991-02-22,0.00,3.8,11.9,20.0
1991-02-23,0.00,3.5,12.9,22.3
1991-02-24,0.00,7.3,15.2,23.2
1991-02-25,0.00,4.9,13.6,22.4
1991-02-26,0.00,4.1,13.0,21.9
1991-02-27,0.00,3.7,13.1,22.6
1991-02-28,4.63,6.0,12.7,19.4
1991-03-01,22.55,5.6,9.0,12.5
1991-03-02,19.37,5.4,8.4,11.3
1991-03-03,70.28,6.4,9.0,11.6
1991-03-04,45.06,7.5,10.8,14.0
1991-03-05,16.09,2.8,9.2,15.6
1991-03-06,0.00,0.6,7.1,13.7
1991-03-07,0.00,0.5,7.2,13.8
1991-03-08,0.00,0.8,9.1,17.4
1991-03-09,0.00,1.3,10.1,19.0
1991-03-10,4.01,3.1,8.1,13.1
1991-03-11,21.04,0.2,3.5,6.9
1991-03-12,12.47,-1.6,3.4,8.5
1991-03-13,33.43,1.8,4.4,7.0
1991-03-14,1.71,-0.3,5.1,10.6
1991-03-15,7.30,-0.5,5.1,10.8
1991-03-16,0.00,-0.9,7.1,15.0
1991-03-17,2.95,0.3,4.4,8.6
1991-03-18,11.40,3.1,6.1,9.2
1991-03-19,2.48,1.9,7.2,12.4
1991-03-20,14.47,1.8,7.4,13.1
1991-03-21,2.81,1.8,6.4,11.0
1991-03-22,2.31,0.7,7.0,13.4
1991-03-23,13.69,1.1,6.3,11.5
1991-03-24,19.82,2.2,4.5,6.7
1991-03-25,15.83,1.7,4.1,6.6
1991-03-26,22.48,0.7,4.1,7.5
1991-03-27,1.83,-0.5,4.2,8.9
1991-03-28,0.00,-1.0,8.4,17.7
1991-03-29,0.00,1.0,9.7,18.3
1991-03-30,0.00,3.8,13.6,23.5
1991-03-31,0.00,5.3,14.4,23.5
1991-04-01,0.24,7.7,14.4,21.0
1991-04-02,2.45,8.1,11.9,15.8
1991-04-03,0.00,6.4,12.0,17.5
1991-04-04,0.00,5.7,12.3,18.9
1991-04-05,0.00,6.4,14.2,21.9
1991-04-06,17.48,7.7,11.1,14.5
1991-04-07,0.00,2.9,9.0,15.0
1991-04-08,0.00,2.6,9.3,16.0
1991-04-09,0.00,4.5,12.6,20.8
1991-04-10,0.00,3.1,11.4,19.7
1991-04-11,0.00,1.6,7.2,12.9
1991-04-12,0.00,2.6,9.9,17.2
1991-04-13,0.00,6.2,14.6,23.1
1991-04-14,0.00,5.7,14.5,23.2
1991-04-15,7.30,5.5,13.0,20.5
1991-04-16,2.43,4.2,9.1,13.9
1991-04-17,1.01,5.5,11.6,17.6
1991-04-18,0.83,6.3,12.9,19.5
1991-04-19,0.76,5.8,12.5,19.3
1991-04-20,3.07,5.6,13.2,20.7
1991-04-21,1.91,6.6,9.6,12.5
1991-04-22,0.00,7.8,13.4,19.1
1991-04-23,4.53,7.0,14.6,22.2
1991-04-24,2.92,8.1,11.0,13.9
1991-04-25,8.19,4.5,9.0,13.5
1991-04-26,1.17,3.9,8.2,12.6
1991-04-27,0.00,3.9,11.4,18.9
1991-04-28,0.00,4.3,13.1,21.9
1991-04-29,0.00,8.1,16.4,24.7
1991-04-30,0.00,6.3,15.8,25.3
1991-05-01,0.34,6.4,14.7,23.1
1991-05-02,1.16,5.4,9.0,12.6
1991-05-03,2.14,6.1,11.4,16.8
1991-05-04,0.00,6.7,14.7,22.7
1991-05-05,0.00,6.4,15.5,24.6
1991-05-06,0.00,10.3,16.5,22.7
1991-05-07,0.00,7.9,15.5,23.0
1991-05-08,3.57,9.0,16.3,23.6
1991-05-09,0.00,4.1,10.8,17.5
1991-05-10,0.00,4.9,10.9,16.8
1991-05-11,0.00,6.1,12.8,19.6
1991-05-12,0.00,7.9,13.9,19.9
1991-05-13,10.81,8.5,14.5,20.4
1991-05-14,8.72,5.4,9.8,14.3
1991-05-15,0.00,6.1,14.7,23.3
1991-05-16,0.00,12.5,19.5,26.5
1991-05-17,10.40,7.3,14.2,21.0
1991-05-18,10.19,4.9,9.1,13.3
1991-05-19,1.12,4.0,8.5,12.9
1991-05-20,0.00,5.1,12.8,20.5
1991-05-21,0.00,8.0,15.8,23.7
1991-05-22,0.00,10.9,20.1,29.2
1991-05-23,0.00,12.6,21.6,30.6
1991-05-24,0.00,12.9,21.9,31.0
1991-05-25,0.00,13.0,21.6,30.2
1991-05-26,0.00,11.8,18.7,25.6
1991-05-27,0.00,11.2,18.4,25.6
1991-05-28,0.00,11.7,19.5,27.4
1991-05-29,0.00,10.9,18.5,26.2
1991-05-30,4.29,7.5,11.9,16.3
1991-05-31,0.00,7.6,13.3,19.1
1991-06-01,0.00,10.9,20.0,29.1
1991-06-02,0.00,14.7,23.8,32.8
1991-06-03,0.00,14.6,23.5,32.4
1991-06-04,0.00,13.1,21.6,30.1
1991-06-05,0.00,11.6,19.0,26.5
1991-06-06,0.00,10.9,19.4,28.0
1991-06-07,0.00,11.6,19.8,28.0
1991-06-08,0.00,12.9,22.7,32.4
1991-06-09,0.00,16.3,24.8,33.3
1991-06-10,0.00,17.6,27.4,37.1
1991-06-11,0.00,18.7,28.1,37.5
1991-06-12,0.00,17.6,26.8,36.0
1991-06-13,0.00,14.7,23.6,32.5
1991-06-14,0.00,12.1,20.2,28.3
1991-06-15,0.00,10.5,20.1,29.6
1991-06-16,0.00,12.2,21.6,31.0
1991-06-17,0.00,12.9,20.8,28.8
1991-06-18,0.00,11.7,21.2,30.8
1991-06-19,0.00,13.9,22.2,30.4
1991-06-20,0.26,10.4,16.2,22.0
1991-06-21,0.00,10.4,18.8,27.1
1991-06-22,0.00,10.7,19.5,28.4
1991-06-23,0.00,11.8,20.1,28.5
1991-06-24,0.00,11.7,18.7,25.8
1991-06-25,1.15,11.8,18.8,25.8
1991-06-26,2.69,11.5,18.4,25.3
1991-06-27,3.41,10.6,17.2,23.9
1991-06-28,1.72,12.2,17.3,22.5
1991-06-29,9.39,13.2,16.7,20.2
1991-06-30,0.00,12.6,17.8,23.1
1991-07-01,0.00,15.3,24.0,32.6
1991-07-02,0.00,21.3,29.7,38.1
1991-07-03,0.00,22.7,32.2,41.6
1991-07-04,0.00,23.1,33.3,43.4
1991-07-05,0.00,22.1,32.7,43.3
1991-07-06,0.00,19.1,29.5,39.9
1991-07-07,0.00,17.8,27.2,36.7
1991-07-08,0.00,17.1,27.0,36.9
1991-07-09,0.00,16.8,26.2,35.6
1991-07-10,0.00,16.9,25.4,33.9
1991-07-11,0.00,17.5,26.5,35.6
1991-07-12,0.00,18.6,28.4,38.2
1991-07-13,0.00,19.4,28.0,36.6
1991-07-14,0.00,17.5,26.1,34.6
1991-07-15,0.00,16.7,24.8,33.0
1991-07-16,0.00,16.6,23.1,29.6
1991-07-17,0.00,16.3,20.7,25.0
1991-07-18,0.00,16.6,24.1,31.6
1991-07-19,0.00,15.9,25.9,35.9
1991-07-20,2.22,17.9,26.1,34.2
1991-07-21,2.78,18.1,25.9,33.8
1991-07-22,0.00,18.4,27.8,37.1
1991-07-23,0.00,19.9,29.3,38.8
1991-07-24,0.00,19.2,28.0,36.8
1991-07-25,0.00,18.9,27.4,35.9
1991-07-26,0.00,19.0,27.4,35.9
1991-07-27,0.00,20.4,29.4,38.5
1991-07-28,0.00,21.4,31.3,41.2
1991-07-29,0.00,21.2,31.1,41.1
1991-07-30,0.00,21.7,31.9,42.1
1991-07-31,0.00,22.0,31.6,41.2
1991-08-01,0.00,16.9,27.1,37.2
1991-08-02,0.00,16.3,25.9,35.5
1991-08-03,0.00,15.5,25.6,35.7
1991-08-04,0.00,15.3,24.2,33.0
1991-08-05,0.00,14.3,23.7,33.1
1991-08-06,0.00,14.4,23.6,32.7
1991-08-07,0.00,14.6,21.5,28.4
1991-08-08,0.00,15.6,22.3,29.1
1991-08-09,0.00,13.8,24.3,34.8
1991-08-10,0.00,17.3,26.0,34.6
1991-08-11,0.00,17.4,27.1,36.7
1991-08-12,0.00,17.0,27.2,37.3
1991-08-13,0.00,17.4,26.8,36.2
1991-08-14,0.00,17.6,25.2,32.9
1991-08-15,9.75,17.2,27.0,36.9
1991-08-16,0.00,15.5,23.0,30.4
1991-08-17,0.00,15.0,25.0,35.1
1991-08-18,0.00,15.3,25.3,35.2
1991-08-19,0.00,15.2,24.5,33.9
1991-08-20,0.00,16.1,25.4,34.8
1991-08-21,0.00,16.4,26.2,36.0
1991-08-22,0.00,16.3,26.7,37.1
1991-08-23,0.00,15.4,26.0,36.6
1991-08-24,0.00,17.7,27.2,36.7
1991-08-25,0.00,17.3,26.6,35.9
1991-08-26,0.00,14.0,23.2,32.4
1991-08-27,0.00,12.1,21.4,30.7
1991-08-28,0.00,11.4,18.8,26.3
1991-08-29,0.00,13.7,19.3,25.0
1991-08-30,0.00,14.6,23.1,31.5
1991-08-31,0.00,15.4,24.6,33.9
1991-09-01,0.00,17.2,25.2,33.2
1991-09-02,0.00,19.0,26.8,34.6
1991-09-03,0.00,19.2,28.6,38.1
1991-09-04,0.00,19.6,29.8,40.1
1991-09-05,0.00,21.4,31.0,40.7
1991-09-06,0.00,21.9,30.9,40.0
1991-09-07,0.00,16.8,26.5,36.1
1991-09-08,0.00,17.0,24.1,31.3
1991-09-09,0.00,15.0,23.7,32.4
1991-09-10,0.00,12.3,20.8,29.3
1991-09-11,0.00,11.1,19.9,28.6
1991-09-12,0.00,14.3,23.9,33.5
1991-09-13,0.00,15.6,25.0,34.4
1991-09-14,0.00,16.4,24.4,32.5
1991-09-15,0.00,16.5,25.2,33.8
1991-09-16,0.00,15.8,26.6,37.5
1991-09-17,0.00,17.6,28.2,38.7
1991-09-18,0.00,18.3,29.8,41.2
1991-09-19,0.00,20.1,30.1,40.2
1991-09-20,0.00,19.7,29.2,38.6
1991-09-21,0.00,17.3,26.5,35.8
1991-09-22,0.00,18.3,26.1,33.9
1991-09-23,0.00,15.4,25.8,36.1
1991-09-24,0.00,16.2,27.2,38.1
1991-09-25,0.00,17.4,28.3,39.3
1991-09-26,0.00,17.8,28.3,38.9
1991-09-27,0.00,17.1,26.0,34.9
1991-09-28,0.00,17.2,25.1,32.9
1991-09-29,0.00,16.5,25.7,34.9
1991-09-30,0.00,17.6,27.2,36.7
1991-10-01,0.00,16.9,27.0,37.0
1991-10-02,0.00,16.5,26.7,36.8
1991-10-03,0.00,16.9,27.0,37.2
1991-10-04,0.00,15.3,26.2,37.1
1991-10-05,0.00,14.4,25.1,35.8
1991-10-06,0.00,14.6,24.0,33.4
1991-10-07,0.00,13.4,23.1,32.8
1991-10-08,0.00,13.2,22.3,31.4
1991-10-09,0.00,13.3,23.1,32.8
1991-10-10,0.00,14.3,25.3,36.3
1991-10-11,0.00,16.1,26.8,37.4
1991-10-12,0.00,16.3,27.0,37.6
1991-10-13,0.00,15.4,26.0,36.6
1991-10-14,0.00,13.6,25.1,36.5
1991-10-15,0.00,15.0,26.1,37.2
1991-10-16,0.00,14.1,24.2,34.3
1991-10-17,0.00,13.0,22.2,31.5
1991-10-18,0.00,13.2,22.5,31.7
1991-10-19,0.00,13.1,22.6,32.0
1991-10-20,0.00,16.2,23.8,31.4
1991-10-21,0.00,14.5,22.4,30.2
1991-10-22,0.00,10.5,20.3,30.2
1991-10-23,3.08,4.7,12.5,20.3
1991-10-24,0.00,4.9,11.4,17.9
1991-10-25,2.54,6.4,9.6,12.8
1991-10-26,39.67,7.1,10.4,13.7
1991-10-27,10.06,4.5,10.4,16.2
1991-10-28,0.00,3.2,8.9,14.7
1991-10-29,0.75,4.7,10.3,15.9
1991-10-30,0.00,4.4,10.8,17.2
1991-10-31,0.00,4.7,10.9,17.0
1991-11-01,0.00,4.1,12.8,21.4
1991-11-02,0.00,5.7,14.0,22.2
1991-11-03,0.00,7.3,15.0,22.8
1991-11-04,0.00,7.8,14.9,22.0
1991-11-05,0.00,7.8,14.7,21.7
1991-11-06,0.00,9.4,18.4,27.3
1991-11-07,0.00,11.2,19.3,27.4
1991-11-08,0.00,11.8,20.0,28.3
1991-11-09,10.21,10.8,14.5,18.2
1991-11-10,0.00,9.2,16.0,22.8
1991-11-11,0.00,9.9,16.0,22.1
1991-11-12,0.00,8.4,16.8,25.3
1991-11-13,0.00,9.0,15.8,22.6
1991-11-14,0.00,6.4,13.1,19.8
1991-11-15,0.00,3.9,10.3,16.8
1991-11-16,0.00,1.9,10.0,18.0
1991-11-17,20.90,2.2,7.6,13.0
1991-11-18,10.55,4.3,7.3,10.3
1991-11-19,0.00,3.1,9.1,15.0
1991-11-20,7.02,4.3,9.4,14.5
1991-11-21,3.65,5.1,7.4,9.7
1991-11-22,0.00,4.4,10.1,15.9
1991-11-23,0.00,3.6,10.5,17.4
1991-11-24,0.00,4.4,11.4,18.3
1991-11-25,0.00,6.1,12.6,19.2
1991-11-26,0.00,5.8,12.2,18.6
1991-11-27,7.46,5.9,11.0,16.0
1991-11-28,0.00,3.6,9.4,15.2
1991-11-29,0.00,3.2,8.8,14.5
1991-11-30,0.00,1.9,8.2,14.5
1991-12-01,0.00,2.0,8.5,15.0
1991-12-02,0.00,1.8,8.5,15.1
1991-12-03,0.00,2.5,10.0,17.5
1991-12-04,0.00,2.4,9.9,17.3
1991-12-05,0.00,3.2,9.4,15.5
1991-12-06,0.00,3.0,8.6,14.3
1991-12-07,16.36,4.3,8.2,12.1
1991-12-08,0.00,4.4,9.8,15.1
1991-12-09,0.00,4.9,10.9,16.9
1991-12-10,0.00,2.9,10.3,17.7
1991-12-11,0.00,2.2,9.8,17.5
1991-12-12,0.00,3.6,9.8,16.0
1991-12-13,0.00,3.2,7.4,11.7
1991-12-14,0.00,2.0,8.4,14.9
1991-12-15,0.00,3.4,8.3,13.1
1991-12-16,0.00,3.6,9.8,16.0
1991-12-17,0.00,4.2,8.4,12.6
1991-12-18,37.03,3.1,7.8,12.5
1991-12-19,9.86,2.3,6.5,10.6
1991-12-20,0.00,1.2,6.4,11.7
1991-12-21,0.00,0.9,7.3,13.8
1991-12-22,0.00,1.6,6.9,12.3
1991-12-23,0.00,1.6,8.1,14.6
1991-12-24,0.00,2.4,9.6,16.8
1991-12-25,0.00,2.4,8.2,14.0
1991-12-26,0.00,2.8,7.5,12.2
1991-12-27,0.00,4.0,7.9,11.9
1991-12-28,20.45,3.2,8.3,13.4
1991-12-29,29.03,4.9,7.0,9.1
1991-12-30,5.28,3.3,5.4,7.5
1991-12-31,0.31,2.9,6.8,10.6
